region,year,gini,atk5,atk1,d9010,d9050,d8020,poorAll4,poorAll5,poorAll6,poorK4,poorK5,poorK6,poorE4,poorE5,poorE6,d5075,d75150,d150,poortp,poorsm,pkidsm,eymed,average
Czech Rebuplic,2002,0.256,0.054,0.102,2.988,1.803,2.016,1.551,4.229,9.798,2.618,6.974,15.843,0.111,1.894,9.514,25.057,56.577,11.391,3.914,23.727,15.358,136222.671,155245.785
Czech Rebuplic,1996,0.257,0.056,0.105,2.976,1.763,2.03,2.011,5.171,10.518,3.33,6.903,12.133,1.363,8.105,22.112,19.863,61.259,11.975,3.266,38.097,9.999,94600.0,107124.153
Czech Rebuplic,1992,0.205,0.037,0.07,2.36,1.538,1.726,0.733,2.425,6.822,1.012,2.294,5.502,0.281,5.656,19.529,15.141,73.991,8.574,1.113,13.231,9.188,51384.174,55468.083
Denmark,2016,0.257,0.059,0.116,2.971,1.674,2.073,3.097,6.148,12.795,1.822,4.251,11.047,0.704,3.944,16.066,17.845,64.992,12.911,2.879,8.365,16.732,246748.96,270063.449
Denmark,2013,0.251,0.056,0.111,2.882,1.65,2.057,2.944,5.672,12.401,1.562,3.583,10.288,0.679,4.0,17.746,18.153,65.83,12.434,2.346,7.938,16.847,236620.308,257583.749
Denmark,2010,0.251,0.057,0.115,2.897,1.615,2.065,3.156,6.32,13.506,2.104,4.485,11.123,0.778,6.594,24.007,17.964,66.72,10.831,3.072,10.778,16.898,230666.481,247974.96
Denmark,2007,0.241,0.053,0.106,2.835,1.57,2.02,2.779,6.343,13.83,1.956,4.652,10.85,0.811,9.757,32.334,17.638,69.152,8.558,3.3,10.682,15.447,212569.026,225049.637
Denmark,2004,0.23,0.046,0.093,2.782,1.563,2.012,2.405,5.635,13.238,1.502,3.874,10.494,1.072,8.465,31.07,18.699,69.411,8.015,2.908,7.897,15.774,192846.838,202850.425
Denmark,2000,0.226,0.044,0.088,2.753,1.554,1.98,2.016,5.415,13.079,1.163,2.739,8.904,0.796,12.034,36.863,18.523,71.105,7.632,1.945,6.103,14.324,169639.773,178266.552
Denmark,1995,0.22,0.042,0.084,2.675,1.54,1.941,1.9,5.211,12.05,1.291,2.728,7.805,0.624,11.372,35.17,18.74,71.896,6.635,2.066,5.526,15.027,143075.916,149665.608
Denmark,1992,0.241,0.054,0.116,2.879,1.558,2.032,4.047,7.419,14.858,3.016,5.636,11.197,4.033,11.327,35.823,16.041,70.952,7.37,3.375,16.133,14.722,126828.8,132447.167
Denmark,1987,0.257,0.06,0.13,3.246,1.609,2.132,4.282,10.285,17.572,3.299,5.306,9.53,5.28,31.652,56.247,13.405,69.471,11.817,4.029,9.517,12.288,111350.303,116403.587
Dominican Republic,2007,0.515,0.223,0.397,10.945,3.269,4.327,15.277,21.115,27.081,18.267,24.937,31.646,26.211,33.394,40.031,16.337,32.451,26.275,22.33,32.052,26.33,71252.07,114846.038
Egypt,2012,0.505,0.222,0.388,8.855,2.918,3.851,13.598,18.591,25.274,15.997,21.824,29.635,13.433,17.901,22.774,19.102,35.045,24.029,20.521,32.384,11.625,7136.046,11197.474
Estonia,2016,0.314,0.081,0.168,4.714,2.027,2.872,7.697,15.821,22.354,6.415,9.821,17.338,7.974,34.659,45.86,18.533,46.482,25.164,8.113,21.281,13.901,10724.936,12035.554
Estonia,2013,0.354,0.104,0.213,5.183,2.223,3.062,8.446,15.051,22.924,9.771,13.925,19.48,2.803,18.443,38.881,14.292,42.489,29.294,11.036,29.09,15.433,8074.768,9748.173
Estonia,2010,0.32,0.085,0.172,4.383,2.053,2.683,7.035,11.798,19.172,8.183,12.944,18.557,1.412,6.135,23.092,15.326,45.083,26.647,9.43,30.15,15.71,6326.306,7363.855
Estonia,2007,0.313,0.081,0.162,4.435,2.013,2.671,6.272,13.731,20.656,6.137,10.851,17.495,6.553,28.903,44.537,16.384,51.73,21.034,5.78,29.944,18.749,6297.329,7194.715
Estonia,2004,0.349,0.102,0.205,4.798,2.174,2.857,7.561,12.989,20.518,9.762,15.318,21.441,2.979,13.529,30.995,17.059,43.138,24.485,9.897,33.21,22.974,3515.78,4258.955
Estonia,2000,0.364,0.111,0.216,5.022,2.288,2.824,7.105,12.634,19.999,8.144,13.299,19.949,4.563,13.842,29.068,16.741,43.309,26.65,10.495,24.889,18.858,2323.771,2925.955
Finland,2016,0.258,0.057,0.109,3.036,1.707,2.057,2.247,5.81,12.633,1.212,3.373,8.899,0.685,4.881,16.043,18.197,65.832,12.598,1.645,13.276,11.292,26209.02,29227.961
Finland,2013,0.261,0.058,0.11,3.148,1.715,2.132,2.602,6.823,14.012,1.178,4.415,9.676,1.052,7.121,20.799,19.054,62.645,13.887,2.243,15.28,11.719,25890.697,28604.135
Finland,2010,0.263,0.06,0.114,3.174,1.709,2.156,2.82,7.213,14.999,1.148,3.722,11.228,1.753,9.695,24.277,20.649,62.25,13.378,2.477,11.747,10.4,24046.221,26529.38
Finland,2007,0.267,0.062,0.116,3.21,1.708,2.135,3.166,7.816,15.434,2.438,4.951,11.081,2.411,14.284,32.357,18.864,63.89,12.296,3.07,17.46,11.322,22296.713,24625.523
Finland,2004,0.262,0.061,0.113,3.1,1.709,2.096,2.525,6.622,13.686,1.485,4.008,10.175,2.064,10.324,25.869,19.631,64.075,12.286,2.495,12.872,12.821,19438.989,21538.198
Finland,2000,0.254,0.056,0.105,2.933,1.66,2.04,2.17,5.48,12.712,1.436,3.028,8.591,1.152,8.82,25.776,21.223,64.305,11.444,2.064,9.0,12.803,16357.967,17993.117
Finland,1995,0.217,0.041,0.078,2.576,1.574,1.847,1.669,4.128,9.146,0.614,2.001,4.491,0.844,5.554,18.452,12.801,75.669,9.529,1.462,4.911,11.047,13637.316,14637.58
Finland,1991,0.209,0.037,0.076,2.615,1.537,1.832,2.46,5.515,10.694,1.497,2.767,5.87,3.425,14.121,30.576,12.851,75.692,8.689,1.671,9.889,10.479,14218.718,14942.482
Finland,1987,0.207,0.036,0.073,2.566,1.512,1.834,2.314,5.143,10.707,1.648,3.22,6.834,2.9,12.061,31.923,15.564,72.359,8.856,1.813,13.327,10.224,10463.946,10881.737
France,2018,0.303,0.08,0.154,3.652,1.871,2.256,4.548,9.248,16.04,4.868,12.101,21.221,1.478,4.504,11.219,23.276,50.213,14.41,7.633,31.874,17.061,23290.0,26881.689
France,2017,0.297,0.077,0.148,3.571,1.852,2.222,4.605,8.978,15.274,4.68,11.668,20.24,1.42,4.068,10.125,22.86,51.577,13.895,7.292,32.032,16.227,22930.0,26340.939
France,2016,0.296,0.076,0.147,3.578,1.856,2.217,4.607,9.155,15.299,4.773,11.953,19.868,0.902,3.621,9.759,23.195,50.793,14.058,7.212,34.455,15.59,22590.0,25895.941
France,2015,0.299,0.078,0.149,3.602,1.879,2.248,4.402,8.983,15.243,4.82,11.957,20.088,0.859,3.411,9.646,22.253,51.752,14.038,7.536,33.488,15.475,22316.184,25813.389
France,2014,0.298,0.078,0.149,3.587,1.866,2.227,4.543,9.051,15.011,5.151,12.155,19.558,1.081,3.905,9.876,21.818,52.066,13.961,7.04,37.512,15.582,22174.882,25575.78
France,2013,0.299,0.077,0.148,3.602,1.886,2.241,4.325,8.818,15.127,5.115,12.066,19.839,0.899,3.941,10.403,22.14,51.697,14.097,7.809,32.636,15.215,22049.536,25518.726
France,2012,0.312,0.086,0.163,3.71,1.91,2.269,5.058,9.289,15.421,5.599,11.993,19.831,0.996,4.133,11.102,22.388,50.771,14.848,7.73,34.737,14.374,21771.879,25524.799
France,2011,0.313,0.086,0.164,3.73,1.929,2.29,4.759,9.11,15.633,5.005,11.362,19.696,1.151,4.755,12.406,22.261,50.743,15.635,7.141,34.243,14.535,21545.544,25371.222
France,2010,0.307,0.083,0.159,3.688,1.905,2.274,4.853,9.041,15.463,5.465,11.558,19.595,1.534,5.727,13.699,22.446,50.983,15.012,7.018,34.567,15.279,21228.343,24764.62
France,2009,0.3,0.079,0.154,3.619,1.888,2.229,4.744,8.773,14.961,4.966,10.564,17.861,1.478,5.119,13.464,21.238,53.276,14.922,6.739,32.371,14.061,20974.318,24234.927
France,2008,0.299,0.078,0.149,3.575,1.889,2.175,4.62,8.382,14.632,4.684,9.857,17.781,1.641,5.447,13.507,21.871,54.032,14.24,6.049,31.068,14.486,20878.108,24231.375
France,2007,0.297,0.077,0.148,3.552,1.888,2.212,4.465,8.345,14.353,4.467,9.691,17.121,1.664,5.398,13.121,23.083,52.767,14.46,6.045,31.189,13.686,19955.419,23092.217
France,2006,0.297,0.076,0.147,3.549,1.881,2.214,4.354,8.302,14.652,4.494,10.093,17.93,1.6,5.183,13.203,22.965,52.814,14.128,6.161,33.817,13.536,19405.212,22418.634
France,2005,0.295,0.075,0.146,3.529,1.882,2.191,4.37,8.347,14.216,4.39,9.914,17.091,1.449,4.931,12.709,21.708,54.307,14.071,6.457,32.244,12.548,18726.474,21618.659
France,2004,0.289,0.071,0.135,3.456,1.865,2.187,3.671,7.962,14.014,3.58,9.208,16.89,1.379,4.936,12.586,22.955,53.531,14.306,6.638,25.669,12.351,18250.0,21027.533
France,2003,0.288,0.07,0.133,3.526,1.878,2.206,3.503,8.124,14.257,3.386,9.936,17.602,1.119,4.445,12.679,22.369,53.547,14.149,6.906,29.207,12.67,17902.559,20598.205
France,2002,0.289,0.07,0.133,3.542,1.9,2.21,3.446,7.917,14.191,3.141,9.102,16.974,1.53,5.272,13.542,23.134,53.201,14.563,6.276,28.555,12.032,17599.888,20329.134
France,2001,0.292,0.072,0.138,3.592,1.911,2.245,3.675,8.092,14.637,3.455,9.727,18.493,1.022,4.52,12.761,23.821,52.249,14.202,7.186,28.453,11.6,16750.0,19374.01
France,2000,0.294,0.072,0.14,3.639,1.927,2.266,3.702,8.259,14.9,3.425,9.735,18.507,1.123,4.964,13.185,23.959,51.608,14.698,7.07,29.727,11.527,16112.545,18651.721
France,1999,0.291,0.071,0.137,3.584,1.907,2.253,3.828,8.288,14.782,3.555,9.407,18.148,1.103,4.825,12.628,24.117,52.254,14.223,6.961,28.36,11.115,15586.621,17944.292
France,1998,0.282,0.066,0.13,3.507,1.869,2.23,3.712,8.202,14.455,3.287,9.2,17.453,1.197,4.987,12.116,23.526,53.031,14.243,7.295,24.391,10.533,15323.444,17447.735
France,1997,0.285,0.068,0.134,3.583,1.884,2.256,4.137,8.716,15.025,3.778,9.701,18.118,1.275,4.731,11.848,22.939,52.726,14.634,7.763,25.247,10.539,14848.848,16912.432
France,1996,0.285,0.068,0.134,3.607,1.884,2.249,4.265,8.761,15.166,3.869,9.242,17.719,1.495,5.189,12.288,23.148,53.289,14.321,7.606,22.752,9.993,14653.663,16633.633
France,1994,,,,,,,,,,,,,,,,,,,,,,,
France,1990,0.289,0.071,0.135,3.428,1.885,2.207,3.1,6.999,13.887,3.378,7.881,15.887,0.419,5.965,16.403,25.327,52.856,13.936,5.609,28.329,9.308,12295.022,14212.208
France,1989,,,,,,,,,,,,,,,,,,,,,,,
France,1984,0.299,0.077,0.151,3.521,1.925,2.285,4.349,7.706,13.483,3.98,7.433,14.23,1.145,5.073,11.927,23.133,53.17,16.264,6.664,16.995,6.468,9351.786,10914.608
France,1979,0.301,0.078,0.149,3.5,1.889,2.255,4.038,8.127,14.616,3.731,7.314,13.922,1.748,10.047,22.591,22.246,55.808,14.632,6.409,20.231,6.126,5301.11,6191.827
France,1978,,,,,,,,,,,,,,,,,,,,,,,
France,1975,0.323,0.09,0.172,3.997,2.012,2.387,5.296,9.85,16.258,4.345,7.217,12.476,3.53,17.567,33.861,19.263,56.858,16.663,6.433,19.803,5.028,3222.209,3860.78
France,1970,0.34,0.096,0.179,4.725,2.151,2.611,5.753,12.242,18.192,4.349,8.37,14.734,9.045,28.89,37.776,21.262,52.026,18.343,7.858,17.817,4.683,1681.171,2058.386
Georgia,2019,0.379,0.119,0.234,5.998,2.326,3.247,10.585,17.117,24.143,15.255,22.263,28.314,3.314,10.92,20.542,17.248,35.812,24.677,20.811,24.864,27.419,5400.0,6682.028
Georgia,2018,0.37,0.113,0.222,5.956,2.368,3.305,10.125,16.901,24.675,14.136,21.823,30.524,2.827,10.148,18.681,16.289,37.554,24.334,20.779,25.896,26.152,4869.044,6006.83
Georgia,2017,0.409,0.14,0.275,7.543,2.53,3.449,13.147,18.647,25.201,17.156,22.961,29.831,4.591,11.648,20.871,15.439,35.483,26.117,22.798,26.644,24.201,4628.443,5970.13
Georgia,2016,0.391,0.124,0.239,6.558,2.514,3.387,10.829,16.103,23.618,14.604,19.107,26.572,3.93,11.302,20.154,16.435,37.354,27.103,18.661,22.642,21.174,4518.192,5876.861
Georgia,2015,0.39,0.125,0.235,6.065,2.358,3.281,10.947,17.074,23.485,13.57,20.633,27.525,5.142,12.427,20.86,16.049,36.208,27.11,20.633,21.628,23.669,4328.899,5544.376
Georgia,2014,0.391,0.125,0.244,6.655,2.613,3.31,10.384,16.151,22.592,13.807,20.846,26.9,3.064,7.71,15.73,16.534,36.705,25.915,20.237,23.323,25.66,4028.808,5241.675
Georgia,2013,0.402,0.13,0.247,6.41,2.563,3.482,10.032,15.734,23.992,12.756,18.989,27.586,3.088,7.935,18.724,18.546,32.46,30.005,17.358,23.044,24.494,3535.73,4726.75
Georgia,2012,0.411,0.138,0.264,6.568,2.52,3.651,11.27,18.542,25.088,14.2,21.584,27.816,4.731,12.844,22.394,15.191,34.261,28.965,20.906,24.685,24.167,3060.811,4083.437
Georgia,2011,0.455,0.174,0.322,7.918,2.733,3.862,13.201,18.842,25.665,16.93,23.431,29.409,5.084,10.59,20.291,13.323,33.002,30.244,21.752,29.542,26.085,2570.0,3731.27
Georgia,2010,0.453,0.171,0.324,8.734,2.835,4.148,13.975,20.821,27.191,17.592,24.742,31.158,5.313,12.652,21.756,14.63,28.382,32.246,25.024,23.937,26.588,2345.639,3324.782
Georgia,2009,0.466,0.182,0.348,9.796,3.051,4.404,14.771,20.694,26.281,18.79,25.642,30.439,5.667,10.775,18.182,13.253,28.771,32.333,25.389,29.355,26.238,2001.347,2959.235
Germany,2019,0.296,0.077,0.146,3.698,1.797,2.254,5.682,11.077,17.243,5.506,11.702,20.141,5.315,11.924,19.658,21.62,53.008,13.67,7.674,34.123,14.403,25966.959,29154.872
Germany,2018,0.298,0.078,0.147,3.669,1.828,2.266,5.143,10.05,16.464,6.063,11.244,19.479,3.838,10.156,18.818,21.547,53.599,13.61,6.928,33.306,15.255,24768.0,28191.062
Germany,2017,0.296,0.078,0.153,3.828,1.807,2.299,6.28,11.53,17.198,6.283,11.574,19.252,3.971,10.814,17.463,20.846,53.945,13.634,7.287,32.842,14.882,23683.924,26454.894
Germany,2016,0.295,0.075,0.144,3.723,1.858,2.278,5.139,10.038,16.18,5.534,11.292,18.884,3.665,9.241,17.046,21.964,51.949,14.795,6.766,34.69,15.013,22943.334,26116.241
Germany,2015,0.293,0.074,0.141,3.659,1.856,2.283,4.781,9.496,16.216,4.67,10.467,19.67,3.703,9.952,18.023,22.519,52.69,14.324,5.9,32.314,15.709,22301.715,25467.583
Germany,2014,0.289,0.07,0.138,3.694,1.874,2.319,4.967,9.55,15.895,5.738,10.546,19.321,3.55,9.814,17.367,22.559,51.394,15.5,5.824,30.965,16.978,21594.981,24504.038
Germany,2013,0.294,0.074,0.139,3.57,1.865,2.284,4.042,8.961,15.255,4.354,10.105,18.136,3.395,8.944,16.768,22.104,52.903,14.888,5.137,32.746,16.679,21111.971,24401.588
Germany,2012,0.29,0.071,0.136,3.621,1.868,2.267,4.198,9.144,15.337,4.427,9.705,18.277,3.129,9.466,16.624,22.638,53.114,14.542,4.782,31.12,16.487,20838.83,23849.79
Germany,2011,0.288,0.07,0.134,3.485,1.833,2.237,4.118,8.571,14.888,3.482,8.534,15.873,3.839,9.417,18.932,21.164,55.397,14.905,4.512,28.583,15.434,20500.128,23492.185
Germany,2010,0.287,0.07,0.135,3.59,1.836,2.269,4.517,9.391,16.154,3.686,8.988,16.408,4.951,11.312,21.856,22.67,53.55,14.792,5.072,29.222,15.611,20351.773,22964.294
Germany,2009,0.284,0.068,0.131,3.564,1.826,2.254,4.412,9.191,15.803,4.446,10.14,17.959,4.087,10.624,19.473,21.863,53.615,14.382,5.525,34.314,15.545,19976.192,22473.369
Germany,2008,0.287,0.071,0.134,3.517,1.843,2.2,4.079,8.732,14.686,4.272,9.048,15.222,4.423,10.64,19.931,18.625,57.983,14.344,4.387,34.769,14.667,19490.941,22367.999
Germany,2007,0.287,0.07,0.134,3.443,1.827,2.178,3.997,8.393,14.544,3.728,8.719,15.776,3.962,9.543,18.559,21.502,56.492,13.287,4.054,32.448,15.47,19182.463,21903.641
Germany,2006,0.286,0.069,0.132,3.551,1.854,2.212,4.091,8.975,14.743,4.146,9.076,15.639,3.324,9.154,16.876,18.06,58.827,14.037,3.923,34.503,15.589,18544.129,21280.366
Germany,2005,0.288,0.071,0.135,3.525,1.836,2.219,4.212,8.964,15.002,4.776,10.815,17.386,3.489,8.985,17.409,19.847,56.341,12.996,5.146,38.466,16.087,18259.26,20739.203
Germany,2004,0.27,0.062,0.12,3.355,1.796,2.121,3.673,8.118,14.215,4.472,10.003,17.409,2.7,8.145,15.905,19.679,58.487,11.831,4.338,38.738,16.227,18295.481,20465.286
Germany,2003,0.268,0.062,0.121,3.268,1.748,2.064,4.164,8.24,14.0,4.638,9.308,16.118,3.545,9.102,17.001,20.585,59.378,10.729,4.868,35.279,14.168,18015.77,19970.524
Germany,2002,0.27,0.062,0.121,3.291,1.765,2.102,4.044,8.061,14.002,5.296,9.294,15.52,3.585,9.49,18.668,18.962,60.329,11.416,4.239,39.271,14.2,17925.864,20056.718
Germany,2001,0.27,0.062,0.121,3.27,1.794,2.056,3.798,7.613,12.979,4.382,8.522,14.332,3.968,9.768,18.585,19.095,61.073,11.31,4.278,34.414,13.442,17268.136,19475.875
Germany,2000,0.259,0.057,0.111,3.186,1.757,2.051,3.96,7.492,12.504,4.66,8.216,13.393,3.632,9.554,18.08,20.196,60.354,11.233,4.523,33.066,12.224,17247.591,19167.547
Germany,1999,0.261,0.057,0.114,3.203,1.782,2.051,3.771,7.322,12.193,4.279,8.106,13.717,3.91,10.471,18.557,19.764,59.973,12.158,4.005,37.602,11.597,16633.98,18630.324
Germany,1998,0.251,0.053,0.104,3.063,1.761,2.015,3.178,6.57,11.214,3.43,6.821,12.715,3.573,9.224,16.391,20.037,61.754,11.387,3.129,32.917,12.083,16186.44,18044.025
Germany,1997,0.251,0.053,0.106,3.092,1.755,2.026,3.271,6.856,11.631,3.34,7.818,13.232,4.331,8.851,16.809,20.823,60.013,11.345,4.611,30.053,11.545,15659.709,17379.311
Germany,1996,0.251,0.053,0.106,3.074,1.751,2.018,3.651,6.907,11.479,3.709,7.464,12.371,5.319,9.69,17.445,20.481,61.282,10.773,3.654,36.492,10.713,15655.223,17300.769
Germany,1995,0.256,0.056,0.115,3.15,1.759,2.043,4.281,7.495,12.345,5.1,8.357,13.034,6.018,10.809,19.591,19.864,60.573,11.205,4.662,40.864,9.704,15236.672,16879.085
Germany,1994,0.262,0.058,0.116,3.281,1.787,2.106,4.1,7.783,13.102,5.13,9.236,14.163,4.233,9.32,18.317,21.3,57.758,11.706,5.669,41.507,9.681,14946.631,16517.021
Germany,1993,0.256,0.055,0.108,3.17,1.767,2.095,3.176,6.786,12.356,3.12,6.409,11.764,5.786,11.649,21.837,21.721,60.833,11.037,3.837,31.738,9.334,14818.554,16484.121
Germany,1992,0.263,0.057,0.114,3.261,1.779,2.152,3.764,7.434,13.75,3.769,6.865,14.021,5.996,12.861,24.153,23.054,58.644,11.437,3.739,35.159,9.621,14281.659,15808.158
Germany,1991,0.268,0.06,0.118,3.394,1.816,2.239,3.749,7.847,14.45,3.424,7.335,13.769,7.809,16.328,28.437,24.164,56.608,11.892,3.994,37.137,9.623,13338.687,14879.422
Germany,1990,0.258,0.056,0.111,3.139,1.759,2.101,3.523,6.685,12.535,3.527,6.199,13.078,6.285,13.849,24.768,23.708,59.855,10.238,3.454,34.074,8.632,13861.899,15429.53
Germany,1989,0.256,0.057,0.111,2.995,1.718,2.032,3.2,5.713,11.948,2.118,4.184,11.796,5.2,10.859,22.402,25.63,60.394,9.792,2.359,21.359,8.632,12922.348,14354.432
Germany,1988,0.254,0.056,0.111,3.043,1.704,2.068,3.685,6.71,12.687,4.081,6.615,13.527,5.239,11.348,24.612,22.768,60.415,10.202,3.174,39.687,9.205,12504.464,13764.094
Germany,1987,0.251,0.054,0.107,3.011,1.702,2.054,3.588,6.729,12.156,3.566,6.714,12.592,4.931,11.152,23.261,22.866,60.582,9.839,3.775,35.259,9.388,11892.799,13036.113
Germany,1986,0.246,0.051,0.101,2.996,1.678,2.039,3.56,6.664,12.234,3.855,6.739,12.347,5.713,12.717,24.229,22.954,59.949,10.358,3.529,37.679,8.967,11608.651,12643.815
Germany,1985,0.251,0.054,0.108,3.065,1.691,2.075,3.546,7.039,13.246,3.399,7.354,13.729,4.979,11.036,22.751,23.767,59.45,9.429,3.995,41.239,9.052,11081.67,12044.912
Germany,1984,0.255,0.056,0.112,3.11,1.704,2.052,3.827,7.497,13.66,3.67,7.754,15.009,6.251,12.891,22.441,23.26,59.277,9.708,4.732,41.624,8.36,10853.027,11815.126
Germany,1983,0.26,0.056,0.107,3.112,1.786,2.097,2.372,5.837,11.692,,,,,,,,,,,,,12680.038,14293.475
Germany,1981,,,,,,,,,,,,,,,,,,,,,,,
Germany,1978,0.263,0.059,0.112,3.073,1.775,2.052,2.732,6.024,11.346,,,,7.815,17.424,29.415,,,,,,,9998.312,11278.309
Germany,1973,0.271,0.063,0.123,3.228,1.813,2.116,3.676,6.831,12.302,,,,10.594,19.03,29.594,,,,,,,6938.085,7851.925
Greece,2016,0.323,0.09,0.179,4.375,1.948,2.535,7.722,13.133,18.984,9.696,16.368,23.676,3.445,7.713,13.516,21.265,44.54,17.827,15.756,26.136,5.876,9123.766,10548.272
Greece,2013,0.335,0.095,0.185,4.775,2.042,2.69,8.879,14.195,20.152,12.118,18.097,25.226,3.034,8.342,13.844,20.015,40.405,21.483,17.003,37.23,5.517,9000.95,10543.574
Greece,2010,0.327,0.092,0.188,4.437,1.949,2.634,8.181,14.024,21.277,10.714,18.135,26.246,4.736,11.463,19.847,20.039,44.252,17.574,16.938,39.112,3.681,12861.672,14645.568
Greece,2007,0.322,0.089,0.178,4.176,1.95,2.577,7.105,11.896,19.329,9.045,15.226,23.314,5.246,11.521,21.41,20.647,44.815,19.312,14.74,23.888,3.662,12756.779,14692.428
Greece,2004,0.329,0.091,0.182,4.42,2.029,2.66,7.078,12.054,19.761,7.8,12.645,21.598,9.818,18.644,29.711,19.91,44.189,23.255,11.378,32.25,6.084,10889.359,12886.948
Greece,2000,0.335,0.094,0.188,4.822,2.057,2.829,8.802,14.078,21.298,6.761,12.437,18.468,16.924,26.389,38.151,19.065,43.534,24.964,11.474,32.47,4.573,7856.151,9275.338
Greece,1995,0.355,0.109,0.226,5.543,2.129,2.816,10.744,15.871,21.866,9.379,14.099,20.035,19.21,26.925,35.617,17.976,43.981,23.944,13.281,25.444,4.612,5512.293,6516.334
Guatemala,2014,0.411,0.147,0.253,5.42,2.369,3.012,7.491,14.576,22.24,8.273,16.755,25.852,12.901,20.581,27.642,21.506,41.857,19.882,16.354,17.436,15.716,17605.915,23855.559
Guatemala,2011,0.518,0.231,0.404,10.599,3.149,4.666,16.296,22.953,29.318,19.297,27.2,34.513,18.659,25.088,31.828,16.525,31.784,24.491,26.905,30.329,15.978,13805.23,22004.296
Guatemala,2006,0.489,0.199,0.348,9.109,3.025,4.47,14.938,22.492,29.123,17.331,26.147,33.814,20.76,27.898,34.7,17.261,30.76,25.833,23.862,37.126,18.239,14007.165,21407.375
Hungary,2015,0.268,0.06,0.115,3.228,1.787,2.156,2.859,6.576,13.09,4.272,9.329,17.593,1.752,6.597,15.832,18.595,58.049,14.027,6.376,25.397,14.79,1884804.56,2139113.46
Hungary,2012,0.288,0.07,0.136,3.711,1.853,2.295,5.855,10.315,16.589,9.842,17.413,25.638,1.354,5.07,11.269,22.807,47.522,12.258,16.039,27.747,11.678,1489757.523,1671434.445
Hungary,2009,0.271,0.061,0.117,3.396,1.871,2.14,4.176,6.726,13.753,5.811,9.935,21.066,0.457,1.543,6.357,22.679,54.545,12.84,8.292,17.125,14.869,1293004.386,1473861.5
Hungary,2007,0.27,0.063,0.118,3.067,1.734,2.047,2.864,6.181,12.081,2.937,6.951,14.981,1.278,4.492,10.586,21.999,59.738,11.312,6.267,11.887,12.247,1237639.927,1401892.205
Hungary,2005,0.288,0.071,0.131,3.27,1.876,2.123,3.38,6.721,11.68,4.512,8.148,13.457,1.183,4.539,10.869,21.596,53.89,16.366,6.005,18.529,7.864,1086116.016,1270568.668
Hungary,1999,0.29,0.07,0.132,3.415,1.894,2.22,2.967,6.636,13.804,4.244,8.263,16.468,1.234,4.476,13.183,23.269,51.826,16.641,7.445,12.391,7.047,573420.151,662898.897
Hungary,1994,0.327,0.09,0.174,4.193,2.078,2.466,5.961,10.237,16.041,6.709,10.973,16.662,4.643,10.346,21.15,17.658,49.371,21.997,10.481,16.675,9.894,258964.723,311208.843
Hungary,1991,0.294,0.076,0.155,3.583,1.836,2.267,5.233,9.439,16.091,6.676,9.016,14.935,4.673,16.822,30.491,16.173,57.536,17.275,7.027,15.882,11.7,179915.0,201969.239
Iceland,2010,0.245,0.054,0.103,2.776,1.617,1.946,3.166,6.037,11.474,3.256,7.174,13.159,2.071,3.339,11.829,18.98,64.541,9.305,3.394,24.756,15.96,3563819.521,3889334.586
Iceland,2007,0.28,0.07,0.129,3.113,1.783,2.055,2.511,5.99,11.843,2.425,6.345,12.213,2.168,8.673,20.981,21.464,60.402,11.79,3.205,26.81,13.418,3217624.6,3707186.165
Iceland,2004,0.256,0.059,0.112,2.875,1.673,1.941,2.873,5.271,11.198,3.502,5.572,11.142,1.323,3.486,15.868,17.412,66.663,10.353,3.983,15.78,13.569,2324167.23,2591641.012
India,2011,0.501,0.211,0.379,9.897,3.337,4.292,13.325,19.715,26.663,15.76,23.507,31.761,16.9,23.03,29.886,18.881,32.504,25.108,23.432,25.035,11.788,35329.801,56800.005
India,2004,0.49,0.2,0.365,9.422,3.298,4.298,12.573,19.191,26.537,14.633,22.454,31.022,15.337,21.494,27.774,19.472,31.176,26.898,21.669,33.517,7.068,14591.266,23070.248
Ireland,2018,0.289,0.071,0.131,3.501,1.865,2.284,2.433,7.223,14.441,3.114,8.155,15.603,1.566,8.336,24.437,22.609,54.741,14.495,3.457,27.589,18.451,28872.116,33524.23
Ireland,2017,0.294,0.075,0.141,3.573,1.811,2.334,3.476,9.356,17.202,3.019,8.942,18.196,2.685,12.549,25.86,24.964,53.607,12.487,4.499,27.886,18.763,28415.219,32267.76
Ireland,2016,0.309,0.081,0.152,3.821,1.97,2.446,3.814,8.992,17.168,4.448,9.404,17.88,3.19,8.03,24.375,24.377,50.633,15.585,4.539,30.498,18.508,25869.741,30360.799
Ireland,2015,0.298,0.076,0.146,3.662,1.823,2.39,4.332,10.081,18.452,4.771,11.588,19.861,4.904,9.463,26.215,22.725,51.788,13.9,6.461,35.236,16.631,25546.539,28816.514
Ireland,2014,0.297,0.074,0.146,3.744,1.907,2.399,3.645,9.33,17.378,3.13,9.195,17.79,3.859,8.047,23.326,23.828,50.17,16.806,5.275,29.611,15.26,24347.177,27757.374
Ireland,2013,0.31,0.081,0.161,3.907,1.961,2.428,4.284,9.85,17.205,3.244,10.549,19.09,5.875,8.417,19.041,22.326,49.315,17.811,6.729,28.183,15.897,22933.16,26609.997
Ireland,2012,0.308,0.079,0.155,3.895,1.979,2.484,4.424,9.578,17.137,3.526,9.871,19.328,5.137,8.282,17.605,24.894,47.354,17.882,5.699,27.127,17.923,22478.925,26016.037
